id;document;content;codes
02:02;s1_r2;Not really, only if you don't have anything better to do. Polishing the performance is usually done deliberately, either to meet a specific metric or when thing go wrong otherwise.;"1-generic td label is not useful for prioritization
s1_q1"
02:04;s1_r2;For developers - maybe? Management - definitely not. Manager are usually not qualified to triage the issue.;"1-notifications are not useful
s1_q2"
02:06;s1_r2;Manager are usually not qualified to triage the issue.;1-managers can not triage issues
02:07;s1_r2;A bot that fills in the ticket missing fields based on how the rest of tickets are usually filled would be good.;"1-a bot could fill missing fields
1-a bot help increase the quality of issue's description"
02:08;s1_r2;A bot that fills in the ticket missing fields based on how the rest of tickets are usually filled would be good. In general, such notifications should not become yet another source of useless spam everyone automatically ignores.;"1-notifications are not useful
concept-Notification Load
s1_q3"
02:11;s1_r2;The idea sounds good on the surface, but I very much doubt it would be useful without extensive intelligent customization options.;"1-customization options are necessary
concept-Customization
s1_q4"
02:16;s1_r2;Polishing the performance is usually done deliberately, either to meet a specific metric or when thing go wrong otherwise.;"1-issue prioritization does not need immediate attention
1-td issues does not have extra priority"
03:02;s1_r3;The label would be useful;1-generic td label is useful for prioritization
03:03;s1_r3;however if the ticket is related to technical debt, the creator itself can add the label. It is not so realistic that the description mentions tech debt, but the label is not added, especially if reports/filters are depending on it.;"1-the label should be manually added
concept-Human Intervention"
04:02;s1_r4;That would make sense in the scenario where a developer or a company is highly focused on a particular feature. Adding a label that notifies the manager and the developer on an issue around that feature would definitely help them. Otherwise, people might feel annoyed and consider this a spam.;"1-customization options are necessary
1-notifications are useful
concept-Customization
s1_q2"
04:05;s1_r4;It would be useful to categorize the issues so that people can find them easier.;"1-generic td label is useful for categorization
concept-Information Abstraction"
04:06;s1_r4;Priority is already used for prioritization. For example, blockers and critical take higher priority than any other issue.;1-there is already a solution for prioritizing issues
04:07;s1_r4;That would make sense in the scenario where a developer or a company is highly focused on a particular feature. Adding a label that notifies the manager and the developer on an issue around that feature would definitely help them.;"1-notifications useufulness depends on the feature under development
concept-Context-Dependent Solution
concept-Contextual Factors"
04:08;s1_r4;Otherwise, people might feel annoyed and consider this a spam.;"1-notifications frequency is a concern
concept-Notification Load"
04:09;s1_r4;You should only notify people that are interested.;"1-notifications should be sent to interested people only
concept-Notification Load"
04:11;s1_r4;It depends on the label that the bot is adding.;"1-the label quality is a concern
concept-Tool Quality"
04:13;s1_r4;There are scenarios where the label can be added automatically by the bot.;1-adding labels automatically may be useful
04:22;s1_r4;But also there might be an issue that involves too many different aspects. What label should the bot use in that case? Can it assess the situation properly and propose more than 1 labels?;"1-the label quality is a concern
concept-Tool Quality"
04:23;s1_r4;You might also want to consider that in that case, users might want the bot to wait for confirmation on the labels, so that only the desired label will be added. Or all of them?;"1-customization options are necessary
concept-Customization"
04:24;s1_r4;You might also want to consider that in that case, users might want the bot to wait for confirmation on the labels, so that only the desired label will be added.;"concept-Human Intervention
concept-Keep the Control"
04:25;s1_r4;There might be a long conversation under an issue due to someone misunderstanding the situation. Who are you notifying? If it's the developer or the creator, jira will notify them anyway;"1-notifications are not useful
1-there is already a solution for notifying people"
05:01;s1_r5;I would not say it would be useful for direct prioritization, rather checking trends, comparisons between components. Selecting focus areas in a project, for middle to long term planning.;"1-generic td label is not useful for prioritization
s1_q1"
05:02;s1_r5;Developer yes, for manager it would be just noise.;"1-notifications should be sent to interested people only
concept-Notification Load
s1_q2"
05:03;s1_r5;That's still a no for management. For management dashboards with trends are the way to look on the projects. Developers, this could reduce the noise/value ratio that would be good.;"1-notifications are not useful
1-notifications should be sent to interested people only
concept-Information Load
s1_q3"
05:07;s1_r5;rather checking trends, comparisons between components. Selecting focus areas in a project, for middle to long term planning.;"1-generic td label is useful for categorization
concept-Information Abstraction"
06:01;s1_r6;Yes, but rather more realistic example would be  security issue rather than tech debt;"1-generic td label is useful for prioritization
1-td issues does not have extra priority
s1_q1"
06:02;s1_r6;No, prioritizing issues has its time, does not need immediate attention;"1-issue prioritization does not need immediate attention
1-notifications are not useful
s1_q2"
06:03;s1_r6;Imminent danger;"1-notifications should be sent to drive immediate actons
s1_q3"
08:01;s1_r8;No. Prioritization should be done by the team or the individual that owns a component.;"1-generic td label is not useful for prioritization
1-issue triage/prioritizartion must to involve humans
concept-Human Intervention
s1_q1"
08:02;s1_r8;I don't see how a notification for this specific case makes sense. Jira notifications are awful in general, but addressing a specific case doesn't help that.;"1-notifications are not useful
concept-Notification Load
s1_q2"
08:04;s1_r8;Auto-labeling in principle seems a bit interesting, but I tend to think that issue triage is best done as a human process.;"1-issue triage/prioritizartion must to involve humans
concept-Human Intervention
s1_q4"
08:09;s1_r8;AFAIK Jira doesn't have any reasonable tooling for users to get notifications;1-jira does not have notifications feature
08:14;s1_r8;Automatically getting CC'ed on issues based on how they are routed (i.e. which components and projects they pass through) would be pretty useful in general.;"1-customization options are necessary
1-messages in issues is a good interface
concept-Customization"
09:02;s1_r9;No, and I think my previous answer covers this.;"1-notifications are not useful
s1_q2"
09:03;s1_r9;"I'm very skeptical that the designation of a particular problem as ""technical debt"" is useful to anyone";1-generic td label is not useful for prioritization
09:09;s1_r9;I'm also skeptical about the anticipated quality of reported issues, though I recognize that this will vary widely between projects.;1-issue's description quality is a concern
