id,scenario,system,verb,process,object,category,complete-requirement,code
INF01,s1,issue labeling bot,will,notify,practitioners about issues containing techincal debt.,information to be provided/detailed information,The issue labeling bot will notify practitioners about issues containing techincal debt.,1-notifications are useful
TU01,s1,issue labeling bot,will,provide,a customization option to configure notifications considering the feature under development.,tool usage/tool execution/execution criteria,The issue labeling bot will provide a customization option to configure notifications considering the feature under development.,1-notifications useufulness depends on the feature under development
TU02,s1,issue labeling bot,will,provide,a customization options to configure notifications when a threshold is reached.,tool usage/tool execution/execution criteria,The issue labeling bot will provide a customization options to configure notifications when a threshold is reached.,1-notifications are useful when a project reach a threshold
TU03,s1,issue labeling bot,will,provide,a customization option to configure notifications considering the time since an issue was open.,tool usage/tool execution/execution criteria,The issue labeling bot will provide a customization option to configure notifications considering the time since an issue was open.,1-notification are useful for not lingering tickets
TI01,s1,issue labeling bot,will,send,notifications by e-mail,tool usage/tool interface,The issue labeling bot will send notifications by e-mail,1-notifications can be sent by e-mail
TI02,s1,issue labeling bot,will,send,notifications by instant messaging services,tool usage/tool interface,The issue labeling bot will send notifications by instant messaging services,1-notifications can be sent using instant message services
TU04,s1,issue labeling bot,will,provide,a customization option to configure notifications considering the lable assigned to an issue.,tool usage/tool execution/execution criteria,The issue labeling bot will provide a customization option to configure notifications considering the lable assigned to an issue.,1-customization options are necessary
TU05,s1,issue labeling bot,will,enable,practitioners to choose whether to assign a label to an issue,tool usage/customization,The issue labeling bot will enable practitioners to choose whether to assign a label to an issue,1-customization options are necessary
TU06,s1,issue labeling bot,will,provide,a customization option to configure to which practitioners notifications will be sent.,tool usage/tool execution/execution criteria,The issue labeling bot will provide a customization option to configure to which practitioners notifications will be sent.,1-notifications should be sent to interested people only
INF02,s2,dashboard,will,present,a list of smells grouped by package,information to be provided/detailed information,The dashboard will present a list of smells grouped by package,2-group code smells per package
TI03,s2,dashboard,will,contain,a dedicated widget for technical debt,tool usage/tool interface,The dashboard will contain a dedicated widget for technical debt,2-widget is useful
INF03,s2,dashboard,will,present,a list of smells grouped by type.,information to be provided/detailed information,The dashboard will present a list of smells grouped by type.,2-group smells by type
INF04,s2,dashboard,will,present,the time since an issue was open.,information to be provided/detailed information,The dashboard will present the time since an issue was open.,2-issue age
INF05,s2,dedicated technical debt dashboard,will,present,the business impact of technical debt.,information to be provided/grouped information,The dedicated technical debt dashboard will present the business impact of technical debt.,2-business impact of td should be present in a dedicated td dashboard
INF06,s2,dedicated technical debt dashboard,will,present,the severity of technical debt.,information to be provided/detailed information,The dedicated technical debt dashboard will present the severity of technical debt.,2-severity of td should be present in a dedicated td dashboard
TU07,s2,dashboard,will,provide,a customization option to select which projects/files to present information about.,tool usage/customization,The dashboard will provide a customization option to select which projects/files to present information about.,2-customization options are necessary
INF07,s2,dashboard,will,present,the evolution of the metrics provided by linters.,information to be provided/grouped information,The dashboard will present the evolution of the metrics provided by linters.,2-presenting results over time is useful
INF08,s2,dedicated technical debt dashboard,will,present,the time since a techincal debt item was inserted in a project.,information to be provided/detailed information,The dedicated technical debt dashboard will present the time since a techincal debt item was inserted in a project.,2-td age should be present in a dedicated td dashboard
INF09,s2,dashboard,will,present,a list of issues grouped by reporter.,information to be provided/detailed information,The dashboard will present a list of issues grouped by reporter.,2-group issues by reporter
INF10,s2,dedicated technical debt dashboard,will,present,a list of technical debt items grouped by type.,information to be provided/detailed information,The dedicated technical debt dashboard will present a list of technical debt items grouped by type.,2-group td items by type
INF11,s2,dashboard,will,present,test code coverage combined with the amount of issues containing technical debt,information to be provided/grouped information,The dashboard will present test code coverage combined with the amount of issues containing technical debt,2-test code coverage could be combined with the amounts of issues with td
TU08,s3,refactoring plugin,will,enable,manually-trggered execution,tool usage/tool execution/manual execution,The refactoring plugin will enable manually-trggered execution,3-manual trigger is the preference
TU09,s3,refactoring plugin,will,provide,refactoring suggestion at commit time,tool usage/tool execution/workflow execution,The refactoring plugin will provide refactoring suggestion at commit time,3-suggestions at commit time
INF12,s3,refactoring plugin,will,inform,the impact of refactoring suggestions on legacy systems,information to be provided/grouped information,The refactoring plugin will inform the impact of refactoring suggestions on legacy systems,3-refactoring suggestions must to consider the impact on legacy systems
TI04,s3,refactoring plugin,will,present,refactoring suggestions within the IDE interface.,tool usage/tool interface,The refactoring plugin will present refactoring suggestions within the IDE interface.,3-show suggestions in the ide gui
TI05,s4,ci-script,will,send,notification using instant message services,tool usage/tool interface,The ci-script will send notification using instant message services,4-instant message could be used for notificaitons
INF13,s4,ci-script,will,send,a report containig the evolution of quality metrics.,information to be provided/grouped information,The ci-script will send a report containig the evolution of quality metrics.,4-evolution of quality metrics
TU10,s4,ci-script,will,send,notifications to practitioners based on a threshold.,tool usage/tool execution/execution criteria,The ci-script will send notifications to practitioners based on a threshold.,4-notifications should be sent based on a threshold
TU11,s4,ci-script,will,send,notifications to practitioners after each CI-Cycle.,tool usage/tool execution/workflow execution,The ci-script will send notifications to practitioners after each CI-Cycle.,4-notification after each ci cyle
INF14,s4,ci-script,will,send,the summary of the data presented report.,information to be provided/grouped information,The ci-script will send the summary of the data presented report.,4-summary of data presented in the commiunication
TI06,s4,ci-script,will,send,notification using mailing lists,tool usage/tool interface,The ci-script will send notification using mailing lists,4-mailing lists are good channels
TI07,s4,ci-script,will,present,qaulity metrics using a CI Job Dashboard.,tool usage/tool interface,The ci-script will present qaulity metrics using a CI Job Dashboard.,4-dashboard
INF15,s4,ci-script,will,include,the amount of code smells in a project into the report.,information to be provided/grouped information,The ci-script will include the amount of code smells in a project into the report.,4-number of code smells
INF16,s4,ci-script,will,include,the metric that triggered a certain report.,information to be provided/detailed information,The ci-script will include the metric that triggered a certain report.,4-metric that triggered the alert
TI08,s4,ci-script,will,send,notifications to practitioners using pull requests messages,tool usage/tool interface,The ci-script will send notifications to practitioners using pull requests messages,4-comments in prs are a good channel for communication
TU12,s5,code review bot,will,notify,the tech lead/architect about the code smells in a code patch.,tool usage/tool execution/workflow execution,The code review bot will notify the tech lead/architect about the code smells in a code patch.,5-tech lead/architect
INF17,s5,code review bot,will,provide,additional information that helps solving the code smells in a new code patch.,information to be provided/detailed information,The code review bot will provide additional information that helps solving the code smells in a new code patch.,5-additional informaiton to help solving the issue
INF18,s5,code review bot,will,provide,the feature or user story number in the report about code smells in a new code patch.,information to be provided/detailed information,The code review bot will provide the feature or user story number in the report about code smells in a new code patch.,5-feature or number story
INF19,s5,code review bot,will,provide,the number of code smells in the files before the PR with a new code patch.,information to be provided/grouped information,The code review bot will provide the number of code smells in the files before the PR with a new code patch.,5-number of code smells before PR
TU13,s5,code review bot,will,notify,the contributors of a certain module about code smells in a new code patch.,tool usage/tool execution/workflow execution,The code review bot will notify the contributors of a certain module about code smells in a new code patch.,5-notifies contributors to a specific module
TU14,s5,code review bot,will,notify,the commit author about code smells in a new code patch.,tool usage/tool execution/workflow execution,The code review bot will notify the commit author about code smells in a new code patch.,5-notify commit author
INF20,s5,code review bot,will,include,links to the code smells in a new code patch.,information to be provided/detailed information,The code review bot will include links to the code smells in a new code patch.,5-link to facilitate navigation
TU15,s5,code review bot,will,provide,a command mark code smells as false prositives in a new code patch,tool usage/customization,The code review bot will provide a command mark code smells as false prositives in a new code patch,5-command:mark code smells as false positives
INF21,s5,code review bot,will,provide,long-term impact of code smells in a new code patch,information to be provided/grouped information,The code review bot will provide long-term impact of code smells in a new code patch,5-long-term impact
TU16,s5,code review bot,will,provide,a command for ignoring warnings about code smells in a new code patch.,tool usage/customization,The code review bot will provide a command for ignoring warnings about code smells in a new code patch.,5-command suggestion
INF22,s5,code review bot,will,provide,a warn containing the standards set by the team.,information to be provided/detailed information,The code review bot will provide a warn containing the standards set by the team.,5-the warn should include standards
